t	S1	S2	S3	S4	S5	S6	S7
7.623811905952976531e+00	1.351134812091372206e+00	2.040450008623080069e-01	4.194982918564470198e-02	1.018464711469815320e-01	8.935375179697596648e-02	2.315111741105102983e+00	6.879052284637421355e-02
7.628814407203601711e+00	1.359440746753047602e+00	2.057922988727491076e-01	4.181390856815184187e-02	1.013278377141707820e-01	7.373980334854310370e-02	2.224917500134934389e+00	6.838749914346091419e-02
7.633816908454226891e+00	1.367656955957821330e+00	2.076573065492337000e-01	4.170346609353055289e-02	1.008327679000086963e-01	8.466977926930378817e-02	2.255236459619187617e+00	6.798740660023594451e-02
7.638819409704852070e+00	1.375781283318975978e+00	2.096402853253696019e-01	4.161800868537069570e-02	1.003613455824767658e-01	8.560324818597309093e-02	2.257416956254823415e+00	6.759035246084335591e-02
7.643821910955477250e+00	1.383811523694616463e+00	2.117415709521514589e-01	4.155705392289876093e-02	9.991364880799728787e-02	8.665000385213564305e-02	2.217271660465960359e+00	6.719644281062688018e-02
7.648824412206102430e+00	1.391745424992176350e+00	2.139615748871230572e-01	4.152012824333845692e-02	9.948974980539926349e-02	8.151144964636258816e-02	2.182398502682159958e+00	6.680578261843983512e-02
7.653826913456728498e+00	1.399580683665690328e+00	2.163007823844494970e-01	4.150677011815869649e-02	9.908971565144400473e-02	8.327094406041976593e-02	2.087986635216089848e+00	6.641847565834996248e-02
7.658829414707353678e+00	1.407314946778959186e+00	2.187597536194507419e-01	4.151652841230864255e-02	9.871360805824065665e-02	8.881984275277288177e-02	2.333672412127973494e+00	6.603462454968589412e-02
7.663831915957978858e+00	1.414945807025246305e+00	2.213391227315266163e-01	4.154896499729963943e-02	9.836148457035760739e-02	8.720981823987815351e-02	2.138812307130348866e+00	6.565433069025353174e-02
7.668834417208604037e+00	1.422470804951245116e+00	2.240395984787389994e-01	4.160365346813408444e-02	9.803339802541934100e-02	9.145922397480470145e-02	2.198203671558813799e+00	6.527769429346827468e-02
7.673836918459229217e+00	1.429887423452949058e+00	2.268619643474013015e-01	4.168018130566315121e-02	9.772939805835324789e-02	9.278862542590911311e-02	2.277057783659724777e+00	6.490481434452143039e-02
7.678839419709854397e+00	1.437193090835138909e+00	2.298070786277099931e-01	4.177814859457897045e-02	9.744953030284829454e-02	9.282656238648014091e-02	2.127451107956858323e+00	6.453578862755976475e-02
7.683841920960480465e+00	1.444385173557559909e+00	2.328758759108906506e-01	4.189717007676641014e-02	9.719383861980505912e-02	9.227940954619220926e-02	2.278397580239030606e+00	6.417071370093456462e-02
7.688844422211105645e+00	1.451460980327750505e+00	2.360693663097943040e-01	4.203687396252788616e-02	9.696236384899585559e-02	8.762556906669766166e-02	2.110748373174554882e+00	6.380968491293582956e-02
7.693846923461730825e+00	1.458417754178276571e+00	2.393886385562588592e-01	4.219690336817178561e-02	9.675514650562964947e-02	9.512611721450714430e-02	2.242846507451556448e+00	6.345279641096777945e-02
7.698849424712356004e+00	1.465252676536390020e+00	2.428348584045526282e-01	4.237691559829608046e-02	9.657222537149491581e-02	9.190725427276362491e-02	2.112145792570302660e+00	6.310014113707267114e-02
7.703851925962981184e+00	1.471962858987422296e+00	2.464092731831444005e-01	4.257658309800712443e-02	9.641364029857785178e-02	9.651832715407725194e-02	2.085008188585670386e+00	6.275181087453435280e-02
7.708854427213606364e+00	1.478545346961751328e+00	2.501132097402584131e-01	4.279559303882232713e-02	9.627943094999016904e-02	8.863864714022563762e-02	2.133408631328384431e+00	6.240789622647111706e-02
7.713856928464231544e+00	1.484997111656683133e+00	2.539480800681757633e-01	4.303364789429797721e-02	9.616963944854686752e-02	9.794336753210901303e-02	1.975068550487190322e+00	6.206848669308511618e-02
7.718859429714857612e+00	1.491315052605427960e+00	2.579153794929641141e-01	4.329046526767323100e-02	9.608430953269142538e-02	1.006584741541677319e-01	2.043488919518543945e+00	6.173367064649276648e-02
7.723861930965482792e+00	1.497495988040217441e+00	2.620166946256370366e-01	4.356577831448103094e-02	9.602348949948259771e-02	9.629466939660837055e-02	2.092010966010248385e+00	6.140353545616836911e-02
7.728864432216107971e+00	1.503536660068560904e+00	2.662536990785017710e-01	4.385933551836748018e-02	9.598723062599888445e-02	9.848686133175101054e-02	2.011704029385450454e+00	6.107816742121947168e-02
7.733866933466733151e+00	1.509433735959784251e+00	2.706281526536984949e-01	4.417090058413574577e-02	9.597558675712619669e-02	1.024251007753393811e-01	2.116015739304667242e+00	6.075765175705816895e-02
7.738869434717358331e+00	1.515183781226097759e+00	2.751419252590620590e-01	4.450025328799031565e-02	9.598862247280622040e-02	1.009272367947203070e-01	1.948601592116239178e+00	6.044207295785075651e-02
7.743871935967983511e+00	1.520783280501344592e+00	2.797969781852489568e-01	4.484718885274951994e-02	9.602640676482632198e-02	1.000607192368705017e-01	2.024293823557769656e+00	6.013151451330791403e-02
7.748874437218608691e+00	1.526228632247264017e+00	2.845953694955695168e-01	4.521151806420231622e-02	9.608901443830120126e-02	1.053176744209849136e-01	2.153886342566355694e+00	5.982605899361485152e-02
7.753876938469234759e+00	1.531516118905266399e+00	2.895392837689840793e-01	4.559306796951549667e-02	9.617653421690477988e-02	1.062486327384880996e-01	2.110253836922649562e+00	5.952578851508987662e-02
7.758879439719859938e+00	1.536641936841407485e+00	2.946310019196722307e-01	4.599168119887727529e-02	9.628906071841231151e-02	1.006222584010993959e-01	2.002060553825379507e+00	5.923078426605336844e-02
7.763881940970485118e+00	1.541602180450658555e+00	2.998729181348888662e-01	4.640721631640647160e-02	9.642669841342386972e-02	1.026065079700862470e-01	1.993404159503759931e+00	5.894112676611180934e-02
7.768884442221110298e+00	1.546392814642416180e+00	3.052675698636361235e-01	4.683954842083994097e-02	9.658956825771682075e-02	1.045608036462285229e-01	2.035958570683618518e+00	5.865689632051772351e-02
7.773886943471735478e+00	1.551009701569848076e+00	3.108176087224663875e-01	4.728856863128562404e-02	9.677780113359803205e-02	1.034086522609396486e-01	1.891112549462182546e+00	5.837817257999595305e-02
7.778889444722360658e+00	1.555448571925193146e+00	3.165258336522850380e-01	4.775418529326230788e-02	9.699154327264555842e-02	1.098730782938659306e-01	1.826037897404417576e+00	5.810503503798382374e-02
